Name,Phone number,Address,Website
Minocha Dental & Implant ClinicDirections,099969 66936,"GT Rd, Dyal Singh Colony, Karnal, Haryana 132001",#
"Centre For Smile,Directions            Sa",098960 32239,"Ground Floor, GT Rd, Dyal Singh Colony, Karnal, Haryana 132001",#
Pasrija DentalDirections            Saved,089505 55584,"Sco - 375 Mughal Canal, Haryana 132001",#
Smile Specialist's Dental Clinic,094683 20030,"Kunjpura Road, near Vishal Megab Mart, Karnal, Haryana 132001",#
Chaudhary Dental Clinic And Implant Cente,085698 32785,"100, Dyal Singh College Road, near Dr Praveen Garg Hospital, Karnal, Haryana 132001",#
Goyal Dental ClinicDirections            ,098960 60101,"Civil Hospital Chowk, Haryana 132001",#
Bhatia Dental Care & Implant CentreDirect,098961 40010,"#1567, Opp, Main Market Rd, Urban Estate, Sector 13, Karnal, Haryana 132001",#
Chandna Dental Clinic & Dental Implant Ce,094162 56470,"A 69 jernailly colony, opposite to Civil Hospital, Karnal, Haryana 132001",#
Rama Dental Clinic & Implant Center,099962 27730,"Near Raghunath Mandir, Sadar Bazar, Karnal, Haryana 132001",#
Sandeep Dental Clinic,098965 36667,"Opposite Karan Taal Park, Sadar Bazar, Karnal, Haryana 132001",#
Dr Kansal's DentistreeWebsiteDirections  ,0184 404 4402,"537, Sector 13 Extension, Sector 13, Karnal, Haryana 132001",http://kansalsdentistree.dental-care.co.in/
Modern Dental Care,085277 67700,"Ghanta Ghar Chowk, Karnal, Haryana 132001",#
Karnal Dental Care Orthodontic & Implant ,098963 14404,"H.No. 404, behind Govt. College, Urban Estate, Sector 14, Karnal, Haryana 132001",http://www.dentistinkarnal.com/
Smile N Profile Dental ClinicWebsiteDirec,092540 96027,"Clinic, no 7, Sector 7, Karnal, Haryana 132001",https://sites.google.com/view/pediatric-dentist-in-karnal/
Dr. Neeraj NarangWebsiteDirections       ,099920 07003,"Sigma dental clinic, #47, Sector 13 Extension, U.E, Karnal, Haryana 132001",http://neerajnarang.com/
Town Dental & SurgicalsDirections        ,0184 226 8933,"Near, # 22 1st Floor Mela Ram School Market, Hospital Chowk, Karnal, Haryana 132001",#
Anmol Dental Clinic & Lab,072060 30073,"Near Syndicate bank, First Floor, Old Subzi Mandi, Road, Karnal, Haryana 132001",#
Chawla Dental and Implant ClinicWebsiteDi,098130 61216,"1871,Ground Floor, Housing Board Colony, Sector 6, Karnal, Haryana 132001",http://www.clinicia.com/calendar/book?u=16238
Ashok Dental Clinic,098961 43348,"Near Karan Gate, Old GT Rd, Karnal, Haryana 132001",#
